created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,search_optimization,search_optimization_progress,search_optimization_bytes,is_external,enable_schema_evolution,owner_role_type,is_event,budget,is_hybrid,is_iceberg
2024-02-22T06:35:21.087-08:00,CALL_CENTER,DEMO_DB,PUBLIC,TABLE,,,60,19456,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N
2024-02-22T06:36:18.983-08:00,CALL_CENTER_TEST,DEMO_DB,PUBLIC,TABLE,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N
2024-02-22T06:36:50.665-08:00,CALL_CENTER_TEST2,DEMO_DB,PUBLIC,TABLE,,,60,19456,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N
